Name,School,Conference,Games,Completions,Attempts,Completion_Percentage,Yards,Y/A,TD,INT,College_QBR,Rush_Attempts,Rushing_Yds,Rushing_Avg,Rushing_Td
Andrew McNulty,CUSA,10,110,202,54.5,1295,6.4,6,7,111.2,42,54,1.3,2
Pete Thomas,Sun Belt,12,301,501,60.1,3181,6.3,14,6,120.2,110,6,0.1,3
Tyrone Swoopes,Big 12,12,224,384,58.3,2409,6.3,13,11,116.5,108,262,2.4,4
Brandon Bridge,Sun Belt,11,160,307,52.1,1927,6.3,15,8,115.8,101,297,2.9,4
Cole Stoudt,ACC,13,191,302,63.2,1892,6.3,9,10,119.1,69,93,1.3,1
Greyson Lambert,ACC,9,154,261,59.0,1632,6.3,10,11,115.7,35,-6,-0.2,2
Christian Hackenberg,Big Ten,13,270,484,55.8,2977,6.2,12,15,109.4,93,-94,-1.0,0
Cody Fajardo,MWC,13,239,405,59.0,2498,6.2,18,11,120.1,177,1046,5.9,13
Colin Reardon,MAC,11,228,400,57.0,2466,6.2,14,16,112.3,59,148,2.5,2
Michael Brewer,ACC,13,262,441,59.4,2692,6.1,18,15,117.4,80,-5,-0.1,2
Brian Burrell,MWC,14,252,432,58.3,2620,6.1,22,18,117.8,110,360,3.3,3
Ikaika Woolsey,MWC,13,210,416,50.5,2538,6.1,13,13,105.8,110,203,1.8,1
P.J. Walker,American,12,203,381,53.3,2317,6.1,13,15,107.8,106,324,3.1,3
Alex McGough,CUSA,12,138,274,50.4,1680,6.1,14,10,111.4,97,92,0.9,4
J.D. Sprague,MAC,10,98,202,48.5,1236,6.1,3,5,99.9,65,264,4.1,3
Anthony Boone,ACC,13,255,453,56.3,2700,6.0,19,8,116.7,94,375,4.0,5
Sam B. Richardson,Big 12,11,254,451,56.3,2669,5.9,18,9,115.2,125,421,3.4,3
Tanner Lee,American,10,185,336,55.1,1962,5.8,12,14,107.6,36,-125,-3.5,0
Kyle Pohl,MAC,10,208,383,54.3,2189,5.7,9,8,105.9,46,18,0.4,1
Trevor Siemian,Big Ten,11,228,392,58.2,2214,5.6,7,11,105.9,68,-123,-1.8,5
John Wolford,ACC,12,214,367,58.3,2037,5.6,12,14,108.1,104,-151,-1.5,0
Jeff Driskel,SEC,9,114,212,53.8,1140,5.4,9,10,103.5,69,180,2.6,4
Austin Appleby,Big Ten,10,144,272,52.9,1449,5.3,10,11,101.7,61,198,3.2,5
Vernon Adams,Pac-12,10,168,259,64.9,2643,10.2,26,6,179.1,83,147,1.8,2
Brandon Doughty,CUSA,14,388,540,71.9,5055,9.4,48,9,176.5,27,-122,-4.5,1
Baker Mayfield,Big 12,13,269,395,68.1,3700,9.4,36,7,173.3,141,405,2.9,7
Kevin Hogan,Pac-12,14,206,304,67.8,2867,9.4,27,8,171.0,85,336,4.0,6
Brandon Allen,SEC,13,244,370,65.9,3440,9.3,30,8,166.5,55,110,2.0,1
Nick Arbuckle,Sun Belt,13,307,486,63.2,4368,9.0,28,12,152.7,61,-95,-1.6,6
Jeff Driskel,CUSA,13,279,448,62.3,4026,9.0,27,8,154.1,92,323,3.5,5
Trevone Boykin,Big 12,11,256,395,64.8,3574,9.0,31,10,161.6,123,612,5.0,9
Zach Terrell,MAC,13,262,391,67.0,3522,9.0,29,9,162.5,77,107,1.4,3
Jared Goff,Pac-12,13,341,529,64.5,4714,8.9,43,13,161.2,56,-8,-0.1,0
Dane Evans,American,13,305,485,62.9,4332,8.9,25,8,151.6,96,-9,-0.1,2
Mason Rudolph,Big 12,13,264,424,62.3,3770,8.9,21,9,149.1,67,-35,-0.5,1
Chad Kelly,SEC,13,298,458,65.1,4042,8.8,31,13,155.9,106,509,4.8,10
Gunner Kiel,American,10,206,316,65.2,2777,8.8,19,11,151.9,32,27,0.8,2
Matt Johnson,MAC,14,383,569,67.3,4946,8.7,46,8,164.2,113,159,1.4,4
Nate Sudfeld,Big Ten,12,247,412,60.0,3573,8.7,27,7,151.0,46,61,1.3,5
Nick Mullens,CUSA,14,331,521,63.5,4476,8.6,38,12,155.2,43,-92,-2.1,3
Marquise Williams,ACC,14,218,356,61.2,3072,8.6,24,10,150.4,158,948,6.0,13
DeShone Kizer,Ind,13,210,334,62.9,2880,8.6,21,10,150.1,135,525,3.9,10
Paxton Lynch,American,13,296,443,66.8,3776,8.5,28,4,157.5,87,239,2.7,2
Deshaun Watson,ACC,15,333,491,67.8,4109,8.4,35,13,156.3,207,1105,5.3,12
Taylor Lamb,Sun Belt,13,167,280,59.6,2364,8.4,31,9,160.7,85,436,5.1,5
Brad Kaaya,ACC,12,238,389,61.2,3238,8.3,16,5,142.1,30,-119,-4.0,2
Quinton Flowers,American,13,162,275,58.9,2290,8.3,22,8,149.4,191,991,5.2,12
Brent Stockstill,CUSA,13,326,489,66.7,3993,8.2,30,9,151.8,60,37,0.6,2
Greg Ward Jr.,American,14,231,345,67.0,2827,8.2,17,6,148.6,197,1114,5.7,21
Blake Decker,MWC,9,120,209,57.4,1713,8.2,12,8,137.6,47,127,2.7,1
Patrick Mahomes,Big 12,13,364,573,63.5,4653,8.1,36,15,147.2,131,456,3.5,10
Anu Solomon,Pac-12,11,205,329,62.3,2655,8.1,20,5,147.1,67,198,3.0,3
Dak Prescott,SEC,13,316,477,66.2,3793,8.0,29,5,151.0,160,588,3.7,10
Jake Browning,Pac-12,12,233,369,63.1,2955,8.0,16,10,139.3,65,35,0.5,1
Cameron Coffman,MWC,9,152,241,63.1,1939,8.0,18,10,147.0,45,-118,-2.6,0
Cooper Rush,MAC,13,324,489,66.3,3853,7.9,25,11,144.8,63,38,0.6,3
Cody Kessler,Pac-12,14,298,446,66.8,3536,7.9,29,7,151.7,61,-149,-2.4,4
Jake Coker,SEC,15,263,393,66.9,3110,7.9,21,8,147.0,74,68,0.9,2
Brett Rypien,MWC,11,272,428,63.6,3350,7.8,20,8,141.0,41,-77,-1.9,1
Skyler Howard,Big 12,13,221,403,54.8,3145,7.8,26,14,134.7,158,502,3.2,6
Jake Rudock,Big Ten,13,249,389,64.0,3017,7.8,20,9,141.5,58,166,2.9,4
C.J. Beathard,Big Ten,14,223,362,61.6,2809,7.8,17,5,139.5,100,237,2.4,6
Kyle Allen,SEC,10,160,283,56.5,2210,7.8,17,7,137.0,65,102,1.6,2
Brandon Harris,SEC,12,149,277,53.8,2165,7.8,13,6,130.6,67,226,3.4,4
